match_id,season,start_date,venue,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0.1,Australia,India,DA Warner,UT Khawaja,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0.2,Australia,India,DA Warner,UT Khawaja,Mohammed Shami,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0.3,Australia,India,UT Khawaja,DA Warner,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0.4,Australia,India,UT Khawaja,DA Warner,Mohammed Shami,1,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0.5,Australia,India,DA Warner,UT Khawaja,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,0.6,Australia,India,DA Warner,UT Khawaja,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,1.1,Australia,India,UT Khawaja,DA Warner,Mohammed Siraj,0,0,,,,,,lbw,UT Khawaja,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,1.2,Australia,India,M Labuschagne,DA Warner,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,1.3,Australia,India,M Labuschagne,DA Warner,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,1.4,Australia,India,M Labuschagne,DA Warner,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,1.5,Australia,India,M Labuschagne,DA Warner,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,1.6,Australia,India,M Labuschagne,DA Warner,Mohammed Siraj,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,2.1,Australia,India,DA Warner,M Labuschagne,Mohammed Shami,0,0,,,,,,bowled,DA Warner,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,2.2,Australia,India,SPD Smith,M Labuschagne,Mohammed Shami,0,4,,,4,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,2.3,Australia,India,SPD Smith,M Labuschagne,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,2.4,Australia,India,SPD Smith,M Labuschagne,Mohammed Shami,0,0,,,,,,,,,
1348652,2022/23,2023-02-09,"Vidarbha Cricket Association Stadium, Jamtha, Nagpur",1,2.5,Australia,India,SPD Smith,M Labuschagne,Mohammed Shami,0,0,,,,,,,,,
